graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,prim,20,24,85.0,229,0.2793
1,kruskal,20,24,85.0,533,0.4183
2,prim,22,24,96.0,233,0.188
2,kruskal,22,24,96.0,563,0.0571
3,prim,23,26,100.0,248,0.1452
3,kruskal,23,26,100.0,557,0.0574
4,prim,19,21,72.0,199,0.1485
4,kruskal,19,21,72.0,432,0.0471
5,prim,24,27,107.0,254,0.2945
5,kruskal,24,27,107.0,578,0.0917
6,prim,20,22,90.0,213,0.1334
6,kruskal,20,22,90.0,516,0.0568
7,prim,21,20,250.0,204,0.119
7,kruskal,21,20,250.0,500,0.0462
8,prim,25,27,113.0,263,0.3833
8,kruskal,25,27,113.0,616,0.1559
9,prim,20,21,81.0,206,0.224
9,kruskal,20,21,81.0,480,0.0741
10,prim,26,25,325.0,254,0.1478
10,kruskal,26,25,325.0,625,0.0631
