graph_id,algorithm,vertices,edges,total_cost,operations_count,execution_time_ms
1,prim,4,5,10.0,46,0.2108
1,kruskal,4,5,10.0,83,0.3063
2,prim,5,6,11.0,56,0.0307
2,kruskal,5,6,11.0,111,0.0267
3,prim,6,7,16.0,64,0.0396
3,kruskal,6,7,16.0,123,0.0256
4,prim,5,5,17.0,49,0.0319
4,kruskal,5,5,17.0,97,0.0225
5,prim,4,4,12.0,39,0.0828
5,kruskal,4,4,12.0,78,0.0194
6,prim,5,5,14.0,49,0.0507
6,kruskal,5,5,14.0,97,0.0232
7,prim,6,6,20.0,59,0.0608
7,kruskal,6,6,20.0,110,0.0599
8,prim,4,4,7.0,39,0.0447
8,kruskal,4,4,7.0,76,0.0214
9,prim,5,5,14.0,49,0.0611
9,kruskal,5,5,14.0,97,0.0322
10,prim,6,6,20.0,59,0.0669
10,kruskal,6,6,20.0,111,0.0285
